IMDBid,Jacob,WikiLink,Ceremony,SubmissionCountry,NominationTitle,Languages,Directors,Result,QID,titleType,primaryTitle,originalTitle,imdbYear,runtimeMinutes,genres,CeremonyYear,YearOffset
tt0133881,,/wiki/Jedermann_(film),34,Austria,Jedermann,German,Gottfried Reinhardt,Not nominated,Q5417847,movie,Everyman,Jedermann,1961,105,Drama,1962,1
tt0054965,,/wiki/Harry_and_the_Butler,34,Denmark,Harry and the Butler,Danish,Bent Christensen,Nominated,Q1403047,movie,Harry and the Butler,Harry og kammertjeneren,1961,105,"Comedy,Family",1962,1
tt0370051,,/wiki/Oh_Islam,34,Egypt,Love and Faith,Arabic,Enrico Bomba & Andrew Marton,Not nominated,Q6151145,movie,Wa Islamah,Wa Islamah,1961,110,"Drama,History,War",1962,1
tt0054632,,/wiki/Last_Year_at_Marienbad,34,France,Last Year at Marienbad,French,Alain Resnais,Not nominated,Q225355,movie,Last Year at Marienbad,L'année dernière à Marienbad,1961,94,"Drama,Mystery",1962,1
tt0176192,,/wiki/Stree_(1961_film),34,India,Stree,Hindi,Rajaram Vankudre Shantaram,Not nominated,Q7622761,movie,Stree,Stree,1961,139,Fantasy,1962,1
tt0054130,,/wiki/La_Notte,34,Italy,The Night,Italian,Michelangelo Antonioni,Not nominated,Q1215047,movie,La Notte,La notte,1961,122,Drama,1962,1
tt0054845,,/wiki/Immortal_Love,34,Japan,Immortal Love,Japanese,Keisuke Kinoshita,Nominated,Q1632477,movie,Immortal Love,Eien no hito,1961,103,"Drama,Romance",1962,1
tt0055646,,/wiki/%C3%81nimas_Trujano_(film),34,Mexico,The Important Man,Spanish,Ismael Rodríguez,Nominated,Q1632443,movie,Ánimas Trujano (El hombre importante),Ánimas Trujano (El hombre importante),1961,110,Drama,1962,1
tt0356901,,/wiki/The_Moises_Padilla_Story,34,Philippines,The Moises Padilla Story,Tagalog,Gerardo de León,Not nominated,Q7751909,movie,The Moises Padilla Story,The Moises Padilla Story,1961,90,"Action,Biography,Drama",1962,1
tt0055310,,/wiki/Pl%C3%A1cido_(film),34,Spain,Plácido,Spanish,Luis García Berlanga,Nominated,Q929101,movie,Placido,Plácido,1961,85,"Comedy,Drama",1962,1
tt0055499,,/wiki/Through_a_Glass_Darkly_(film),34,Sweden,Through a Glass Darkly,Swedish,Ingmar Bergman,Won Academy Award,Q587498,movie,Through a Glass Darkly,Såsom i en spegel,1961,90,Drama,1962,1
tt0055415,,/wiki/The_Shadows_Grow_Longer,34,Switzerland,Die Schatten werden länger (Lengthening Shadows),German,Ladislao Vajda,Not nominated,Q7763593,movie,Die Schatten werden länger,Die Schatten werden länger,1961,91,Drama,1962,1
